sender,nominal_interval_s,n_packets_full,loss_rate_full,success_rate_full,mean_burst_len_pkts_full,p95_burst_len_pkts_full,max_burst_len_pkts_full,mean_burst_len_s_full,max_burst_len_s_full,recv_rate_pps_full,send_rate_pps_est_full,t_start_full,t_end_full,n_packets_steady_fl,loss_rate_steady_fl,success_rate_steady_fl,mean_burst_len_pkts_steady_fl,p95_burst_len_pkts_steady_fl,max_burst_len_pkts_steady_fl,mean_burst_len_s_steady_fl,max_burst_len_s_steady_fl,recv_rate_pps_steady_fl,send_rate_pps_est_steady_fl,t_start_steady_fl,t_end_steady_fl,n_packets_steady_rp,loss_rate_steady_rp,success_rate_steady_rp,mean_burst_len_pkts_steady_rp,p95_burst_len_pkts_steady_rp,max_burst_len_pkts_steady_rp,mean_burst_len_s_steady_rp,max_burst_len_s_steady_rp,recv_rate_pps_steady_rp,send_rate_pps_est_steady_rp,t_start_steady_rp,t_end_steady_rp
100,0.09999999999999432,1570,0.2980891719745223,0.7019108280254778,23.4,77.00000000000023,381,2.3399999999998666,38.099999999997834,7.307687461745716,10.411133679619576,49.1149,199.915,1509,0.26971504307488403,0.730284956925116,21.42105263157895,41.69999999999919,381,2.1421052631577733,38.099999999997834,7.307687461745716,10.006624664042,49.1149,199.915,1109,0.013525698827772768,0.9864743011722272,1.1538461538461537,1.7999999999999972,3,0.11538461538460881,0.29999999999998295,7.3177208577118025,7.418055238759039,50.4149,199.915
106,0.09999999999999432,1540,0.3064935064935065,0.6935064935064935,15.733333333333333,30.849999999999866,382,1.5733333333332438,38.19999999999783,7.182265453303169,10.356450185474607,51.2644,199.964,1488,0.28225806451612906,0.717741935483871,14.482758620689655,4.599999999999998,382,1.4482758620688831,38.19999999999783,7.182265453303169,10.006751867523517,51.2644,199.964,1078,0.021335807050092765,0.9786641929499073,1.0454545454545454,1.0,2,0.1045454545454486,0.19999999999998863,7.191566984504388,7.348349961417754,53.2644,199.964
112,0.09999999999999432,1510,0.3066225165562914,0.6933774834437085,27.235294117647058,119.19999999999976,380,2.723529411764551,37.99999999999784,7.195881234282635,10.378014005507907,54.4081,199.908,1456,0.2809065934065934,0.7190934065934066,25.5625,102.5,380,2.5562499999998547,37.99999999999784,7.195881234282635,10.006879729814248,54.4081,199.908,1042,0.011516314779270634,0.9884836852207294,1.3333333333333333,2.0,2,0.13333333333332575,0.19999999999998863,7.202802239721846,7.286718382320547,56.4081,199.408
118,0.09999999999999432,1480,0.3614864864864865,0.6385135135135135,24.318181818181817,45.99999999999997,440,2.4318181818180435,43.9999999999975,6.603782814511272,10.34243234441977,56.8572,199.957,1432,0.3400837988826816,0.6599162011173184,23.19047619047619,8.0,440,2.3190476190474874,43.9999999999975,6.603782814511272,10.007002106222371,56.8572,199.957,1371,0.3274981765134938,0.6725018234865062,56.125,287.0499999999997,440,5.612499999999681,43.9999999999975,6.63787852826282,9.87042457944504,60.9572,199.857
124,0.09999999999999432,1450,0.356551724137931,0.643448275862069,23.5,58.049999999999955,430,2.3499999999998664,42.999999999997556,6.721916545929134,10.446708458303585,61.1133,199.913,1389,0.3282937365010799,0.6717062634989202,21.714285714285715,2.0,430,2.1714285714284483,42.999999999997556,6.721916545929134,10.007226240402536,61.1133,199.913,939,0.019169329073482427,0.9808306709265175,1.2,2.0,2,0.11999999999999317,0.19999999999998863,6.6836139701320105,6.814238347398434,62.1133,199.913
130,0.09999999999999432,1420,0.37253521126760564,0.6274647887323943,15.114285714285714,22.499999999999872,420,1.5114285714284854,41.99999999999761,6.52746296342423,10.402915160563868,63.4018,199.902,1366,0.34773060029282576,0.6522693997071742,13.970588235294118,8.349999999999998,420,1.3970588235293324,41.99999999999761,6.52746296342423,10.007311344598763,63.4018,199.902,907,0.03307607497243661,0.9669239250275634,1.0714285714285714,1.6499999999999986,2,0.10714285714285104,0.19999999999998863,6.525287908797756,6.74850186234842,65.5018,199.902
136,0.09999999999999432,1390,0.379136690647482,0.620863309352518,13.175,5.099999999999824,420,1.3174999999999253,41.99999999999761,6.513192800318188,10.490542285564636,67.4647,199.965,1326,0.3491704374057315,0.6508295625942685,11.871794871794872,2.0,420,1.1871794871794197,41.99999999999761,6.513192800318188,10.007524511265256,67.4647,199.965,885,0.0384180790960452,0.9615819209039548,1.0303030303030303,1.0,2,0.10303030303029717,0.19999999999998863,6.471468125928229,6.730022669149804,68.4647,199.965
142,0.09999999999999432,1360,0.3463235294117647,0.6536764705882353,19.625,44.64999999999989,390,1.9624999999998884,38.99999999999778,6.801857082959704,10.405540644347804,69.2394,199.939,1308,0.32033639143730885,0.6796636085626911,18.217391304347824,3.0,390,1.8217391304346788,38.99999999999778,6.801857082959704,10.007681737358036,69.2394,199.939,896,0.022321428571428572,0.9776785714285714,1.1764705882352942,2.0,2,0.11764705882352273,0.19999999999998863,6.7540686324398855,6.908271112632577,70.2394,199.939
148,0.09999999999999432,1330,0.3548872180451128,0.6451127819548872,19.666666666666668,45.0999999999999,380,1.966666666666555,37.99999999999784,6.718898664442696,10.415076018308607,72.2355,199.935,1278,0.3286384976525822,0.6713615023474178,18.26086956521739,5.799999999999997,380,1.8260869565216353,37.99999999999784,6.718898664442696,10.007870038645414,72.2355,199.935,855,0.017543859649122806,0.9824561403508771,1.1538461538461537,2.0,2,0.11538461538460881,0.19999999999998863,6.747015048253206,6.867497459829156,75.4355,199.935
154,0.09999999999999432,1300,0.44769230769230767,0.5523076923076924,44.76923076923077,228.5999999999992,570,4.476923076922822,56.99999999999676,9.849108367626885,17.83264746227709,127.042,199.942,730,0.01643835616438356,0.9835616438356164,1.0,1.0,1,0.09999999999999432,0.09999999999999432,9.849108367626885,10.013717421124827,127.042,199.942,1300,0.44769230769230767,0.5523076923076924,44.76923076923077,228.5999999999992,570,4.476923076922822,56.99999999999676,9.849108367626885,17.83264746227709,127.042,199.942
